index,detected,Oval,Rectangle,Round,Square
0,True,0.24073324796081919,0.014940545732395089,0.4111760028551479,0.33315020345163787
1,False,,,,
2,True,0.27654904215360776,0.17268947363054682,0.2703164081419883,0.2804450760738572
3,True,0.18234375542793355,0.042921540228396234,0.4370186632109524,0.33771604113271786
4,True,0.13910433341296272,0.42126580637643213,0.22384683619519963,0.21578302401540556
5,True,0.26121515026642306,0.032892549432807366,0.3632289508162194,0.3426633494845501
6,True,0.22593361149791993,0.09445680770714039,0.3690493972247844,0.31056018357015525
7,True,0.18110307149461619,0.262153864035576,0.29305724180071036,0.26368582266909746
8,True,0.33217042625228343,0.1960659146638561,0.22268632691366158,0.2490773321701988
9,True,0.3354854806081767,0.04918536097743395,0.3216074613916791,0.2937216970227103
10,True,0.26272900378767333,0.12070781966615558,0.32061325985812744,0.29594991668804355
11,True,0.23804230593860362,0.027674847812016914,0.4076750644408149,0.3266077818085646
12,True,0.22033073629225283,0.040172968859858924,0.40972268511983423,0.329773609728054
13,True,0.26158621113718794,0.20913303730998534,0.25743985156671784,0.2718408999861089
14,True,0.24776973888670903,0.05075759915013423,0.3765134202450826,0.3249592417180741
15,True,0.07424492809351037,0.32019963664089207,0.3435604556636282,0.2619949796019693
16,True,0.280613919768698,0.09626844749905707,0.2841863353422393,0.3389312973900056
17,True,0.18461651383947003,0.14099424788129933,0.37593356912474196,0.2984556691544888
18,True,0.35756260167775417,0.021796942428866317,0.320740663942232,0.29989979195114763
19,True,0.18039809682329522,0.16985399751017818,0.3449034910179781,0.30484441464854833
20,True,0.17073853039552261,0.12323556452835738,0.3756797218751085,0.3303461832010115
21,True,0.21984502901169162,0.04012508235969415,0.4046696603689917,0.3353602282596226
22,True,0.2769532268112605,0.008247271291037068,0.41198753551938977,0.30281196637831265
23,True,0.22239279243353197,0.13265007755617794,0.33687686303890146,0.3080802669713887
24,True,0.23274849134055778,0.14933088698472757,0.30407980795782896,0.3138408137168857
25,True,0.25815348435831365,0.09836323539686438,0.3316212663685493,0.31186201387627266
26,True,0.23388204313777797,0.026089705483543182,0.41600137713297075,0.3240268742457082
27,True,0.29139474925703823,0.25653403604226505,0.20751720224808473,0.24455401245261196
28,True,0.11771463693278587,0.10922995495068524,0.45519595879244024,0.3178594493240886
29,True,0.27997223954354256,0.035608892964882635,0.3497974163870515,0.33462145110452335
30,True,0.3823366037064329,0.02731137458362817,0.30302669749600086,0.28732532421393814
31,True,0.18980448947005873,0.10406457388713523,0.39866703962126665,0.3074638970215393
32,True,0.2853228243114626,0.0854387204396865,0.3217654207057697,0.3074730345430812
33,False,,,,
34,True,0.40758761209310945,0.04279392432507563,0.27351969006715365,0.2760987735146613
35,True,0.4000663487171281,0.07364759437014681,0.2808405748051051,0.24544548210762002
36,False,,,,
37,True,0.2957440544440287,0.030375041676896645,0.3354660707281226,0.338414833150952
38,True,0.5162148702094381,0.029251930176162837,0.21464001708788702,0.23989318252651207
39,True,0.5729586514910778,0.03464794524204179,0.18434140721549183,0.2080519960513887
40,True,0.3408201747067798,0.051344950995788084,0.32480785502822523,0.2830270192692069
41,True,0.1931637612529294,0.07192303020035591,0.39932753407747296,0.3355856744692417
42,True,0.1789051652365517,0.028744608106643796,0.41800732692362363,0.3743428997331809
43,True,0.28256507328896596,0.03751752057608486,0.3566182665928965,0.3232991395420525
44,True,0.1997094541628621,0.36283542281387776,0.20681632767822025,0.23063879534503992
45,True,0.3078437881803941,0.019918079262337567,0.35731539865581635,0.314922733901452
46,True,0.31203202176812156,0.08676480406398257,0.3062619527534151,0.2949412214144807
47,True,0.34918686555269585,0.06902130274720686,0.2959007489198478,0.2858910827802495
48,False,,,,
49,True,0.19826055196868625,0.012242299734289773,0.4388237989044306,0.3506733493925933
50,True,0.15444465634887786,0.04996688873385887,0.47141451424556213,0.3241739406717011
51,True,0.4217128954092818,0.019097325762840955,0.2758990269455509,0.2832907518823262
52,True,0.27382902011748367,0.024603129939859525,0.3651649204514254,0.33640292949123135
53,True,0.27339198725849456,0.12989471916996373,0.31212758643432825,0.2845857071372135
54,True,0.23582033594384993,0.051723286616173654,0.387405324402988,0.3250510530369884
