index,detected,Oval,Rectangle,Round,Square
0,True,0.01618934530886105,0.18516705146230644,0.560561779693778,0.23808182353505458
1,True,0.0955280117722639,0.2102540221457555,0.1795928625547565,0.514625103527224
2,True,0.8625324689054074,0.07039173618630427,0.03735969028563958,0.02971610462264874
3,True,0.024886682821577147,0.22131405365429932,0.331697264400804,0.42210199912331964
4,False,,,,
5,True,0.7912808845296789,0.1046047487361765,0.044465399567816886,0.059648967166327706
6,True,0.005372117656209972,0.5561274352296592,0.1714550798710326,0.26704536724309824
7,True,0.3187154759831905,0.16067745222526247,0.18943703395315345,0.3311700378383935
8,True,0.0012489911723837725,0.3821028829028954,0.5933739449362383,0.023274180988482527
9,True,0.04277003647981396,0.22069895778983906,0.3281600988521848,0.40837090687816235
10,True,0.007620828183795102,0.1249570200672667,0.4471850961328348,0.4202370556161034
11,True,0.014827348411437681,0.10855133175332812,0.5744505060273027,0.3021708138079314
12,False,,,,
13,True,0.1520052617717639,0.4117065012375093,0.16966968954266187,0.26661854744806496
14,True,0.49938987739816476,0.14011999308607673,0.15170527066653255,0.20878485884922596
15,False,,,,
16,True,0.0260923873026157,0.2670992134487221,0.3924848186181036,0.31432358063055865
17,False,,,,
18,True,0.0066358300822041815,0.09941768160668511,0.45916833926973344,0.43477814904137724
19,True,0.008968577902257472,0.20497026072678995,0.5625893666191184,0.22347179475183418
20,True,0.24640086896376973,0.22720877233273382,0.22062737320603573,0.30576298549746084
21,True,0.7137850976941134,0.08196823089452941,0.08008875071582386,0.12415792069553346
22,False,,,,
23,True,0.023476361359656524,0.18444284023351057,0.4397218031494744,0.3523589952573585
24,True,0.23846360501308136,0.1932714321349531,0.14662300017126043,0.421641962680705
25,True,0.5042888705320938,0.34646980600547256,0.07211117105854098,0.07713015240389266
26,True,0.05283642752821161,0.19334729222403663,0.3014881751065253,0.45232810514122646
27,True,0.040456100083954165,0.14399695805639623,0.29058330295870033,0.5249636389009493
28,False,,,,
29,True,0.1283045702663617,0.20571946887102494,0.36663084422593817,0.29934511663667523
30,True,0.042301109751821386,0.23736160108885226,0.29374773424212075,0.4265895549172056
31,True,0.05884144243764226,0.5441270494592677,0.32411306461856815,0.07291844348452198
32,False,,,,
33,True,0.009057987115229022,0.2170608020040637,0.45858580627463125,0.315295404606076
34,True,0.3480423461881799,0.19724006621050166,0.15708673085274077,0.29763085674857764
35,True,0.24102603584970128,0.14841485599550633,0.24615601433665035,0.36440309381814195
36,False,,,,
37,True,0.23606766840601578,0.27391259223005304,0.18632056319499316,0.3036991761689379
38,True,0.6269830675168675,0.15182198053749807,0.08896781769461938,0.13222713425101504
39,True,0.131255437381913,0.2744691933776458,0.2149676316560919,0.3793077375843493
40,False,,,,
41,True,0.0054059353000831655,0.06294015366875709,0.6229289559624718,0.308724955068688
42,True,0.06233657428688876,0.2388344268123224,0.3332132927511102,0.36561570614967864
43,False,,,,
44,True,0.01154247641259812,0.17801162349853777,0.5356577451824116,0.2747881549064526
45,False,,,,
46,True,0.01866510730309893,0.23716512004974988,0.5118822813826672,0.23228749126448395
47,True,0.008586230707144456,0.49124766341799303,0.3329873464893499,0.16717875938551263
48,True,0.007182932209585779,0.26218086984840133,0.4961007104364607,0.23453548750555214
49,True,0.023572979641258998,0.321538801798797,0.2898915468754943,0.36499667168444977
50,True,0.11695469618882837,0.21111592417528444,0.356631188342092,0.3152981912937952
51,True,0.025159204160025036,0.26465462182162963,0.39890117742557507,0.31128499659277037
52,True,0.012513206335278545,0.36547792894470416,0.4175605350977937,0.20444832962222367
53,True,0.02613928694845699,0.28047759367558783,0.33264241056776406,0.3607407088081911
54,True,0.20157985090261182,0.41885518449952397,0.20635589632753298,0.17320906827033125
55,True,0.8823645385992955,0.04808692312070339,0.018784371542301222,0.05076416673769978
56,True,0.8475215016635169,0.02938655935930023,0.042493776699559234,0.08059816227762356
57,False,,,,
58,True,0.10978549032352611,0.2326633750170033,0.37986512774690767,0.277686006912563
59,False,,,,
60,True,0.13263434603534574,0.27924277155071436,0.2827591137268952,0.3053637686870448
61,False,,,,
